atc_code,atc_name,atc1,cat1,atc2,cat2,atc3,cat3,atc4,atc_category
C02LA07,bietaserpine / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LA,Rauwolfia alkaloids and diuretics in combination
C02LA08,rauwolfia alkaloids / whole root / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LA,Rauwolfia alkaloids and diuretics in combination
C02LA09,syrosingopine / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LA,Rauwolfia alkaloids and diuretics in combination
C02LA50,combination of rauwolfia alkaloids / diuretics incl. other combinations,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LA,Rauwolfia alkaloids and diuretics in combination
C02LA51,reserpine / diuretics / combinations with other drugs,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LA,Rauwolfia alkaloids and diuretics in combination
C02LA52,rescinnamine / diuretics / combinations with other drugs,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LA,Rauwolfia alkaloids and diuretics in combination
C02LA71,reserpine / diuretics / combinations with psycholeptics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LA,Rauwolfia alkaloids and diuretics in combination
C02LB01,methyldopa (levorotatory) / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LB,Methyldopa and diuretics in combination
C02LC01,clonidine / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LC,Imidazoline receptor agonists in combination with diuretics
C02LC05,moxonidine / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LC,Imidazoline receptor agonists in combination with diuretics
C02LC51,clonidine / diuretics / combinations with other drugs,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LC,Imidazoline receptor agonists in combination with diuretics
C02LE01,prazosin / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LE,Alpha-adrenoreceptor antagonists and diuretics
C02LF01,guanethidine / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LF,Guanidine derivatives and diuretics
C02LG01,dihydralazine / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LG,Hydrazinophthalazine derivatives and diuretics
C02LG02,hydralazine / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LG,Hydrazinophthalazine derivatives and diuretics
C02LG03,picodralazine / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LG,Hydrazinophthalazine derivatives and diuretics
C02LG51,dihydralazine / diuretics / combinations with other drugs,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LG,Hydrazinophthalazine derivatives and diuretics
C02LG73,picodralazine / diuretics / combinations with psycholeptics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LG,Hydrazinophthalazine derivatives and diuretics
C02LK01,veratrum / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LK,"Alkaloids, excl. rauwolfia, in combination with diuretics"
C02LL01,pargyline / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LL,MAO inhibitors and diuretics
C02LX01,pinacidil / diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LX,Other antihypertensives and diuretics
C03AA01,bendroflumethiazide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain"
C03AA02,hydroflumethiazide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain"
C03AA03,hydrochlorothiazide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain"
C03AA04,chlorothiazide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain"
C03AA05,polythiazide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain"
C03AA06,trichlormethiazide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain"
C03AA07,cyclopenthiazide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain"
C03AA08,methyclothiazide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain"
C03AA09,cyclothiazide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain"
C03AA13,mebutizide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain"
C03AB01,bendroflumethiazide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AB,Thiazides and potassium in combination
C03AB02,hydroflumethiazide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AB,Thiazides and potassium in combination
C03AB03,hydrochlorothiazide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AB,Thiazides and potassium in combination
C03AB04,chlorothiazide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AB,Thiazides and potassium in combination
C03AB05,polythiazide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AB,Thiazides and potassium in combination
C03AB06,trichlormethiazide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AB,Thiazides and potassium in combination
C03AB07,cyclopenthiazide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AB,Thiazides and potassium in combination
C03AB08,methyclothiazide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AB,Thiazides and potassium in combination
C03AB09,cyclothiazide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AB,Thiazides and potassium in combination
C03BA02,quinethazone,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BA03,clopamide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BA04,chlortalidone,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BA05,mefruside,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BA07,clofenamide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BA08,metolazone,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BA09,meticrane,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BA10,xipamide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BA11,indapamide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BA12,clorexolone,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BA13,fenquizone,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BA82,clorexolone / combinations with psycholeptics,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BA,"Sulfonamides, plain"
C03BB02,quinethazone / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BB,Sulfonamides and potassium in combination
C03BB03,clopamide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BB,Sulfonamides and potassium in combination
C03BB04,chlortalidone / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BB,Sulfonamides and potassium in combination
C03BB05,mefruside / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BB,Sulfonamides and potassium in combination
C03BB07,clofenamide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BB,Sulfonamides and potassium in combination
C03BC01,mersalyl,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BC,Mercurial diuretics
C03BD01,theobromine,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BD,Xanthine derivatives
C03BX03,cicletanine,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BX,Other low-ceiling diuretics
C03CA01,furosemide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03C,HIGH-CEILING DIURETICS,C03CA,"Sulfonamides, plain"
C03CA02,bumetanide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03C,HIGH-CEILING DIURETICS,C03CA,"Sulfonamides, plain"
C03CA03,piretanide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03C,HIGH-CEILING DIURETICS,C03CA,"Sulfonamides, plain"
C03CA04,torasemide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03C,HIGH-CEILING DIURETICS,C03CA,"Sulfonamides, plain"
C03CB01,furosemide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03C,HIGH-CEILING DIURETICS,C03CB,Sulfonamides and potassium in combination
C03CB02,bumetanide / potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03C,HIGH-CEILING DIURETICS,C03CB,Sulfonamides and potassium in combination
C03CC01,etacrynic acid,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03C,HIGH-CEILING DIURETICS,C03CC,Aryloxyacetic acid derivatives
C03CC02,tienilic acid,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03C,HIGH-CEILING DIURETICS,C03CC,Aryloxyacetic acid derivatives
C03CD01,muzolimine,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03C,HIGH-CEILING DIURETICS,C03CD,Pyrazolone derivatives
C03CX01,etozolin,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03C,HIGH-CEILING DIURETICS,C03CX,Other high-ceiling diuretics
C03DA01,spironolactone,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DA,Aldosterone antagonists
C03DA02,potassium canrenoate,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DA,Aldosterone antagonists
C03DA03,canrenone,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DA,Aldosterone antagonists
C03DA04,eplerenone,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DA,Aldosterone antagonists
C03DA05,finerenone,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DA,Aldosterone antagonists
C03DB01,amiloride,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DB,Other potassium-sparing agents
C03DB02,triamterene,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DB,Other potassium-sparing agents
C03EA01,hydrochlorothiazide / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA,Low-ceiling diuretics and potassium-sparing agents
C03EA02,trichlormethiazide / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA,Low-ceiling diuretics and potassium-sparing agents
C03EA03,epitizide / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA,Low-ceiling diuretics and potassium-sparing agents
C03EA04,altizide / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA,Low-ceiling diuretics and potassium-sparing agents
C03EA05,mebutizide / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA,Low-ceiling diuretics and potassium-sparing agents
C03EA06,chlortalidone / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA,Low-ceiling diuretics and potassium-sparing agents
C03EA07,cyclopenthiazide / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA,Low-ceiling diuretics and potassium-sparing agents
C03EA12,metolazone / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA,Low-ceiling diuretics and potassium-sparing agents
C03EA13,bendroflumethiazide / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA,Low-ceiling diuretics and potassium-sparing agents
C03EA14,butizide / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA,Low-ceiling diuretics and potassium-sparing agents
C03EB01,furosemide / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EB,High-ceiling diuretics and potassium-sparing agents
C03EB02,bumetanide / potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EB,High-ceiling diuretics and potassium-sparing agents
C03XA01,tolvaptan,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03X,OTHER DIURETICS,C03XA,Vasopressin antagonists
C03XA02,conivaptan,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03X,OTHER DIURETICS,C03XA,Vasopressin antagonists
C04AA,2-amino-1-phenylethanol derivatives,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AA,2-amino-1-phenylethanol derivatives
C04AA01,isoxsuprine,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AA,2-amino-1-phenylethanol derivatives
C04AA02,buphenine,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AA,2-amino-1-phenylethanol derivatives
C04AA31,bamethan,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AA,2-amino-1-phenylethanol derivatives
C04AB01,phentolamine,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AB,Imidazoline derivatives
C04AB02,tolazoline,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AB,Imidazoline derivatives
C04AC01,nicotinic acid,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AC,Nicotinic acid and derivatives
C04AC02,nicotinyl alcohol (pyridylcarbinol),C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AC,Nicotinic acid and derivatives
C04AC03,inositol nicotinate,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AC,Nicotinic acid and derivatives
C04AC07,ciclonicate,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AC,Nicotinic acid and derivatives
C04AD01,pentifylline,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AD,Purine derivatives
C04AD02,xantinol nicotinate,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AD,Purine derivatives
C04AD03,pentoxifylline,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AD,Purine derivatives
C04AD04,etofylline nicotinate,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AD,Purine derivatives
C04AE01,ergoloid mesylates,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AE,Ergot alkaloids
C04AE02,nicergoline,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AE,Ergot alkaloids
C04AE04,dihydroergocristine,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AE,Ergot alkaloids
C04AF01,kallidinogenase,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AF,Enzymes
C04AX01,cyclandelate,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX02,phenoxybenzamine,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX07,vincamine,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX10,moxisylyte,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX11,bencyclane,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX17,vinburnine,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX19,suloctidil,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX20,buflomedil,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX21,naftidrofuryl,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX23,butalamine,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX24,visnadine,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX26,cetiedil,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX27,cinepazide,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX28,ifenprodil,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX30,azapetine,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX32,fasudil,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C04AX33,clazosentan,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators
C05AA01,hydrocortisone,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AA,Corticosteroids
C05AA04,prednisolone,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AA,Corticosteroids
C05AA05,betamethasone,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AA,Corticosteroids
C05AA06,fluorometholone,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AA,Corticosteroids
C05AA08,fluocortolone,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AA,Corticosteroids
C05AA09,dexamethasone,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AA,Corticosteroids
C05AA10,fluocinolone acetonide,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AA,Corticosteroids
C05AA11,fluocinonide,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AA,Corticosteroids
C05AA12,triamcinolone,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AA,Corticosteroids
C05AD01,lidocaine,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AD,Local anesthetics
C05AD02,tetracaine,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AD,Local anesthetics
C05AD03,benzocaine,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AD,Local anesthetics
C05AD04,cinchocaine,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AD,Local anesthetics
